"";"ID";"Age";"Gender";"Education";"Country";"Ethnicity";"NScore";"EScore";"OScore";"AScore";"CScore";"Alcohol";"Amphet";"Amyl";"Benzos";"Caff";"Cannabis";"Choc";"Cokes";"Crack";"Ecstasy";"Heroin";"Ketamine";"Legalh";"LSD";"Meth";"Mushrooms";"Nicotine";"Semer";"VSA";"alcohol_user";"ecstasy_user";"cannabis_user";"stimulating_user"
"471";473;"18-24";"Male";"Masters degree";"UK";"Mixed-White/Black";"Very Low";"High";"Average";"Average";"High";"Used in Last Week";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Used in Last Decade";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Year";"Never Used";"Used in Last Year";"Used in Last Day";"Never Used";"Never Used";1;1;1;0
"472";474;"18-24";"Female";"Left school before 16 years";"UK";"White";"Low";"Low";"Average";"Average";"Low";"Used in Last Week";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Day";"Used in Last Year";"Used in Last Week";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Never Used";"Used in Last Day";"Never Used";"Used in Last Decade";1;0;1;0
"473";475;"35-44";"Female";"Some college or university, no certificate or degree";"USA";"White";"Average";"Low";"Low";"Low";"Low";"Used in Last Decade";"Never Used";"Never Used";"Used in Last Year";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Used in Last Day";"Never Used";"Never Used";0;0;1;0
"474";476;"55-64";"Female";"University degree";"UK";"Mixed-White/Asian";"Very Low";"Average";"Average";"Low";"Average";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"475";477;"45-54";"Female";"University degree";"USA";"White";"Very Low";"Average";"Low";"Average";"Average";"Used in Last Year";"Used over a Decade Ago";"Never Used";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Month";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";1;0;1;0
"476";478;"35-44";"Male";"University degree";"UK";"White";"Average";"Very Low";"Average";"Very Low";"Low";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Decade";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Year";1;0;0;0
"477";479;"35-44";"Female";"Professional certificate/ diploma";"UK";"White";"Average";"Low";"Low";"Low";"Very Low";"Used in Last Day";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Used in Last Day";"Used in Last Decade";"Used in Last Week";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;0;1
"478";480;"25-34";"Female";"University degree";"UK";"White";"Low";"Average";"Low";"Average";"Average";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Decade";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";1;0;0;0
"479";481;"25-34";"Female";"Masters degree";"Australia";"White";"Low";"Low";"High";"Average";"Low";"Used in Last Day";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Day";"Used in Last Decade";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Never Used";1;0;0;0
"480";482;"18-24";"Male";"Some college or university, no certificate or degree";"USA";"White";"Average";"Very Low";"Average";"Very Low";"Low";"Used in Last Year";"Used in Last Year";"Never Used";"Used in Last Year";"Used in Last Day";"Used in Last Year";"Used in Last Month";"Used in Last Year";"Never Used";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Year";"Used in Last Day";"Never Used";"Never Used";1;1;1;1
"481";483;"35-44";"Female";"University degree";"Australia";"White";"Average";"Low";"Average";"Low";"Average";"Used in Last Day";"Used in Last Decade";"Used over a Decade Ago";"Used in Last Day";"Used in Last Day";"Used in Last Year";"Used in Last Week";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Decade";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"482";484;"35-44";"Male";"Some college or university, no certificate or degree";"UK";"White";"Very Low";"Low";"Average";"Low";"Average";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Decade";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Year";"Never Used";"Used over a Decade Ago";0;0;1;0
"483";485;"25-34";"Female";"University degree";"UK";"White";"Average";"Low";"High";"Average";"Average";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Decade";"Used in Last Week";"Used in Last Day";"Used in Last Week";"Never Used";"Never Used";"Used in Last Month";"Never Used";"Used in Last Year";"Used in Last Decade";"Never Used";"Never Used";"Used in Last Year";"Used in Last Year";"Never Used";"Never Used";0;1;1;0
"484";486;"35-44";"Female";"Left school at 16 years";"UK";"White";"Very Low";"Average";"Low";"Average";"Low";"Used in Last Month";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"485";487;"45-54";"Female";"Left school at 16 years";"UK";"White";"Very Low";"Low";"Low";"Average";"Low";"Used in Last Day";"Never Used";"Used over a Decade Ago";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"486";488;"25-34";"Male";"Left school at 18 years";"Other";"White";"Average";"Very Low";"Average";"Low";"Very Low";"Used in Last Week";"Used in Last Week";"Never Used";"Used in Last Decade";"Used in Last Day";"Used in Last Week";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Used in Last Week";"Never Used";"Used over a Decade Ago";1;0;1;1
"487";489;"35-44";"Female";"Left school at 18 years";"USA";"White";"Average";"Very Low";"Average";"Low";"Low";"Used in Last Month";"Never Used";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"488";490;"25-34";"Male";"Left school at 16 years";"UK";"White";"Low";"Very Low";"Average";"Average";"Low";"Used in Last Day";"Used in Last Year";"Used in Last Decade";"Used in Last Decade";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used in Last Year";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Year";"Never Used";"Used in Last Decade";1;1;1;1
"489";491;"18-24";"Male";"Left school before 16 years";"UK";"White";"Average";"Very Low";"Average";"Very Low";"Very Low";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;1;0
"490";492;"18-24";"Male";"Some college or university, no certificate or degree";"UK";"White";"Very Low";"Average";"Average";"Very Low";"Very Low";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Used in Last Year";"Never Used";"Used in Last Month";"Never Used";"Used in Last Year";"Used in Last Month";"Used in Last Month";"Never Used";"Used in Last Month";"Used in Last Week";"Never Used";"Never Used";1;1;1;1
"491";493;"45-54";"Female";"Professional certificate/ diploma";"UK";"White";"Low";"Average";"Average";"Low";"Low";"Used in Last Week";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Never Used";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"492";494;"18-24";"Male";"Left school at 18 years";"UK";"White";"Very Low";"Low";"Average";"Average";"Low";"Used in Last Day";"Used in Last Decade";"Used in Last Decade";"Never Used";"Used in Last Week";"Used in Last Day";"Used in Last Month";"Used in Last Year";"Never Used";"Used in Last Month";"Never Used";"Used in Last Decade";"Used in Last Year";"Never Used";"Never Used";"Used in Last Year";"Used in Last Month";"Never Used";"Used in Last Decade";1;1;1;1
"493";495;"18-24";"Male";"Professional certificate/ diploma";"UK";"White";"Low";"Low";"Average";"Low";"Low";"Used in Last Week";"Never Used";"Used in Last Month";"Used in Last Month";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"494";496;"18-24";"Male";"Some college or university, no certificate or degree";"UK";"White";"Low";"Very Low";"Average";"Low";"Very Low";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Year";"Used in Last Week";"Never Used";"Never Used";"Used in Last Week";"Never Used";"Used in Last Year";"Used in Last Year";"Used in Last Month";"Never Used";"Used in Last Month";"Used in Last Day";"Never Used";"Never Used";1;1;1;0
"495";497;"18-24";"Male";"Professional certificate/ diploma";"Other";"Other";"Very Low";"Low";"Average";"Average";"Low";"Used in Last Month";"Never Used";"Used in Last Decade";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"496";498;"55-64";"Male";"Some college or university, no certificate or degree";"USA";"White";"Very Low";"Low";"Average";"Average";"Average";"Used in Last Year";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Used in Last Decade";"Used in Last Day";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Year";"Used over a Decade Ago";"Used in Last Month";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;0;0
"497";499;"25-34";"Male";"Masters degree";"UK";"White";"Low";"Average";"High";"Low";"Low";"Used in Last Day";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Day";"Used in Last Decade";"Used in Last Day";"Used in Last Decade";"Never Used";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Day";"Never Used";"Never Used";1;0;0;0
"498";500;"25-34";"Male";"Left school at 16 years";"Other";"White";"Low";"Low";"Average";"Average";"Low";"Used in Last Month";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Used over a Decade Ago";1;0;1;0
"499";501;"55-64";"Female";"Some college or university, no certificate or degree";"UK";"White";"Average";"Low";"High";"Low";"Very Low";"Used in Last Week";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Year";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used over a Decade Ago";"Never Used";"Used in Last Decade";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Decade";"Never Used";"Never Used";1;0;1;0
"500";502;"35-44";"Female";"Professional certificate/ diploma";"Republic of Ireland";"White";"Low";"Low";"Low";"Low";"Average";"Used in Last Year";"Never Used";"Used over a Decade Ago";"Used in Last Decade";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used in Last Month";"Never Used";"Used in Last Month";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used over a Decade Ago";1;1;1;1
"501";503;"25-34";"Female";"Professional certificate/ diploma";"UK";"White";"Very Low";"Low";"Low";"Low";"Low";"Used in Last Year";"Used over a Decade Ago";"Never Used";"Never Used";"Used in Last Day";"Used in Last Decade";"Used in Last Week";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Used in Last Day";"Never Used";"Used over a Decade Ago";1;0;0;0
"502";504;"18-24";"Male";"Some college or university, no certificate or degree";"USA";"White";"Very Low";"Low";"Low";"Low";"Low";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Month";"Never Used";"Used in Last Year";"Used in Last Week";"Never Used";"Never Used";1;0;1;0
"503";505;"55-64";"Female";"Professional certificate/ diploma";"Canada";"White";"Low";"Low";"Low";"Low";"Average";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Month";"Used in Last Week";"Used in Last Week";"Used in Last Month";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used over a Decade Ago";"Used in Last Month";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";0;0;1;0
"504";506;"35-44";"Male";"Left school at 16 years";"UK";"White";"Low";"Low";"Low";"Low";"Average";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";0;0;1;0
"505";507;"45-54";"Male";"Professional certificate/ diploma";"Other";"White";"Low";"Low";"Average";"Low";"Very Low";"Used in Last Year";"Used over a Decade Ago";"Never Used";"Used in Last Year";"Used in Last Day";"Used in Last Decade";"Used in Last Day";"Used in Last Decade";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Never Used";1;0;0;0
"506";508;"35-44";"Male";"University degree";"UK";"White";"Very Low";"Low";"Average";"Low";"Average";"Used in Last Month";"Used in Last Decade";"Used in Last Year";"Used over a Decade Ago";"Used in Last Day";"Used in Last Decade";"Used in Last Week";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";"Used in Last Year";"Used in Last Decade";"Never Used";"Used over a Decade Ago";1;0;0;0
"507";509;"25-34";"Male";"University degree";"UK";"White";"Low";"Low";"Low";"Very Low";"Low";"Used in Last Year";"Used in Last Decade";"Used in Last Year";"Never Used";"Used in Last Week";"Used in Last Day";"Used in Last Day";"Used in Last Year";"Never Used";"Used in Last Decade";"Never Used";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Day";"Never Used";"Never Used";1;0;1;1
"508";510;"35-44";"Male";"Left school at 16 years";"UK";"White";"Average";"Very Low";"Low";"Very Low";"Low";"Used in Last Week";"Used in Last Decade";"Used in Last Decade";"Used in Last Year";"Used in Last Week";"Used in Last Decade";"Used in Last Day";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";1;0;0;0
"509";511;"35-44";"Female";"Masters degree";"Other";"White";"Very Low";"Average";"Low";"Average";"Low";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Week";"Never Used";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";1;0;0;0
"510";512;"35-44";"Male";"University degree";"UK";"White";"Low";"Average";"Low";"Low";"Low";"Used in Last Week";"Used in Last Decade";"Used in Last Decade";"Never Used";"Used in Last Day";"Used in Last Week";"Used in Last Week";"Used in Last Decade";"Used over a Decade Ago";"Used in Last Decade";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Used in Last Week";"Never Used";"Never Used";1;0;1;0
"511";513;"45-54";"Female";"Masters degree";"UK";"White";"Low";"Low";"Average";"Low";"Low";"Used in Last Week";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Day";"Used in Last Week";"Used in Last Day";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Used in Last Week";"Never Used";"Never Used";1;0;1;0
"512";514;"18-24";"Male";"Some college or university, no certificate or degree";"UK";"White";"Low";"Low";"Average";"Low";"Very Low";"Used in Last Day";"Used in Last Year";"Never Used";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used in Last Year";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Used in Last Week";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;1;1;1
"513";515;"55-64";"Male";"Left school at 16 years";"USA";"White";"Very Low";"Low";"Average";"Average";"Average";"Used in Last Year";"Used in Last Decade";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Day";"Used in Last Week";"Used in Last Day";"Used in Last Month";"Used in Last Year";"Used in Last Year";"Used over a Decade Ago";"Never Used";"Never Used";"Used over a Decade Ago";"Used in Last Decade";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Used over a Decade Ago";1;1;1;1
"514";516;"35-44";"Male";"Left school at 16 years";"UK";"White";"Average";"Low";"Low";"Low";"Low";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Week";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;0;0
"515";517;"18-24";"Female";"Left school at 17 years";"USA";"White";"Very Low";"Average";"Average";"Low";"Low";"Used in Last Week";"Used in Last Year";"Never Used";"Used in Last Week";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Used in Last Month";"Never Used";"Used in Last Month";"Used in Last Year";"Used in Last Day";"Never Used";"Used in Last Decade";1;1;1;1
"516";518;"35-44";"Female";"Left school at 16 years";"UK";"White";"Very Low";"Low";"Low";"Very Low";"Low";"Used in Last Day";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Day";"Used in Last Decade";"Used in Last Day";"Used in Last Decade";"Used in Last Decade";"Used over a Decade Ago";"Used in Last Decade";"Used over a Decade Ago";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Decade";"Used in Last Day";"Never Used";"Used over a Decade Ago";1;0;0;0
"517";519;"25-34";"Female";"Masters degree";"UK";"White";"Low";"Low";"Average";"Low";"Average";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Year";"Used in Last Day";"Used in Last Decade";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";0;0;0;0
"518";520;"25-34";"Male";"Professional certificate/ diploma";"Other";"White";"Low";"Low";"Average";"Low";"Low";"Used in Last Decade";"Used in Last Year";"Used in Last Decade";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Used in Last Year";"Never Used";"Used in Last Year";"Used in Last Year";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Decade";"Never Used";"Used in Last Day";"Never Used";"Used over a Decade Ago";0;1;1;1
"519";521;"25-34";"Male";"Masters degree";"UK";"White";"Very Low";"Low";"Low";"Average";"Average";"Used in Last Week";"Used in Last Decade";"Used in Last Decade";"Used in Last Month";"Used in Last Week";"Used in Last Year";"Used in Last Week";"Used in Last Decade";"Used in Last Decade";"Used in Last Year";"Used in Last Decade";"Used in Last Decade";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Week";"Never Used";"Used in Last Decade";1;1;1;0
"520";522;"35-44";"Female";"University degree";"UK";"White";"Low";"Low";"Low";"Low";"Average";"Used in Last Week";"Never Used";"Used in Last Decade";"Never Used";"Used in Last Day";"Used in Last Year";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Week";"Never Used";"Never Used";1;0;1;0
"521";523;"45-54";"Female";"Left school at 16 years";"Australia";"White";"Low";"Low";"Low";"Low";"Low";"Used in Last Year";"Never Used";"Never Used";"Used in Last Day";"Used in Last Week";"Used in Last Month";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"522";524;"18-24";"Male";"Some college or university, no certificate or degree";"USA";"White";"Low";"Low";"Average";"Very Low";"Low";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Used in Last Year";"Never Used";"Used in Last Year";"Used in Last Day";"Never Used";"Never Used";1;1;1;0
"523";525;"18-24";"Male";"Some college or university, no certificate or degree";"UK";"White";"Very Low";"Low";"Average";"Low";"Very Low";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Never Used";1;0;1;0
"524";526;"35-44";"Female";"Left school before 16 years";"UK";"White";"Low";"Very Low";"Very Low";"Low";"Average";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Day";"Used in Last Decade";"Used in Last Week";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Never Used";"Never Used";"Used over a Decade Ago";"Used in Last Decade";"Never Used";"Used in Last Year";"Never Used";"Used over a Decade Ago";0;0;0;0
"525";527;"45-54";"Female";"University degree";"Australia";"White";"Very Low";"Low";"Average";"High";"High";"Used in Last Week";"Used over a Decade Ago";"Used over a Decade Ago";"Used in Last Day";"Never Used";"Used in Last Day";"Used in Last Year";"Used over a Decade Ago";"Used over a Decade Ago";"Used over a Decade Ago";"Never Used";"Never Used";"Never Used";"Used in Last Year";"Used in Last Day";"Used over a Decade Ago";"Never Used";"Never Used";"Used over a Decade Ago";1;0;1;0
"526";528;"55-64";"Male";"Left school at 18 years";"UK";"White";"Very Low";"Low";"Low";"Low";"Average";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used over a Decade Ago";"Never Used";"Never Used";1;0;0;0
"527";529;"18-24";"Male";"Professional certificate/ diploma";"UK";"White";"Average";"Very Low";"Low";"Very Low";"Very Low";"Used in Last Month";"Never Used";"Used in Last Decade";"Never Used";"Used in Last Month";"Used in Last Week";"Used in Last Week";"Used in Last Month";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Used in Last Year";"Never Used";"Used in Last Month";"Never Used";"Never Used";1;1;1;1
"528";530;"35-44";"Male";"Doctorate degree";"UK";"White";"Low";"Low";"Average";"Average";"Very Low";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used in Last Decade";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"529";531;"25-34";"Female";"Professional certificate/ diploma";"UK";"White";"Low";"Average";"Average";"Low";"Low";"Used in Last Week";"Used in Last Decade";"Used in Last Decade";"Used over a Decade Ago";"Used in Last Day";"Used in Last Year";"Used in Last Day";"Used in Last Week";"Never Used";"Used in Last Decade";"Never Used";"Used over a Decade Ago";"Never Used";"Used over a Decade Ago";"Never Used";"Used in Last Decade";"Used in Last Week";"Never Used";"Used over a Decade Ago";1;0;1;1
"530";532;"55-64";"Male";"University degree";"UK";"White";"Average";"Low";"Average";"Very Low";"Average";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Used over a Decade Ago";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"531";533;"45-54";"Male";"University degree";"UK";"White";"Average";"Very Low";"Low";"Average";"Low";"Used in Last Week";"Used in Last Decade";"Used over a Decade Ago";"Used in Last Decade";"Used in Last Day";"Used in Last Day";"Used in Last Week";"Used in Last Year";"Used in Last Year";"Used in Last Decade";"Used over a Decade Ago";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Decade";"Used in Last Decade";"Used in Last Day";"Never Used";"Used over a Decade Ago";1;0;1;1
"532";534;"18-24";"Female";"University degree";"UK";"White";"Very Low";"Low";"Low";"Average";"Average";"Used in Last Month";"Never Used";"Never Used";"Used in Last Decade";"Used in Last Week";"Never Used";"Used in Last Year";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";1;0;0;0
"533";535;"25-34";"Male";"Masters degree";"UK";"White";"Very Low";"Low";"Low";"Very Low";"Low";"Used in Last Month";"Never Used";"Never Used";"Never Used";"Used in Last Week";"Never Used";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";1;0;0;0
"534";536;"35-44";"Female";"Masters degree";"UK";"White";"Very Low";"Average";"Low";"Average";"Average";"Used in Last Day";"Never Used";"Never Used";"Never Used";"Used in Last Day";"Never Used";"Used in Last Week";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Never Used";"Used in Last Decade";"Never Used";"Never Used";1;0;0;0
"535";537;"25-34";"Female";"University degree";"USA";"White";"Average";"Low";"Average";"Very Low";"Low";"Used in Last Week";"Used in Last Month";"Never Used";"Used in Last Day";"Used in Last Day";"Used in Last Decade";"Used in Last Month";"Used in Last Day";"Never Used";"Used in Last Decade";"Used in Last Year";"Used in Last Decade";"Never Used";"Used in Last Decade";"Used in Last Year";"Used in Last Decade";"Used in Last Day";"Never Used";"Used over a Decade Ago";1;0;0;1
